N,PilaPrinceton,PilaDeCola,ColaPrinceton,ColaDePilas
4096,0.00000000,0.00001563,0.00018750,0.00025000
4096,0.00000000,0.00001563,0.00017188,0.00021875
4096,0.00000000,0.00001563,0.00017188,0.00023438
4096,0.00000000,0.00001563,0.00015625,0.00023438
4096,0.00001563,0.00001563,0.00012500,0.00026563
4096,0.00000000,0.00001563,0.00014063,0.00025000
4096,0.00000000,0.00001563,0.00015625,0.00025000
4096,0.00001563,0.00001563,0.00015625,0.00028125
4096,0.00000000,0.00000000,0.00015625,0.00023438
4096,0.00001563,0.00000000,0.00017188,0.00023438
4096,0.00000000,0.00001563,0.00017188,0.00023438
4096,0.00000000,0.00001563,0.00015625,0.00023438
4096,0.00001563,0.00000000,0.00012500,0.00025000
4096,0.00000000,0.00001563,0.00015625,0.00026563
4096,0.00000000,0.00001563,0.00018750,0.00021875
4096,0.00001563,0.00001563,0.00014063,0.00023438
4096,0.00000000,0.00001563,0.00017188,0.00023438
4096,0.00000000,0.00001563,0.00015625,0.00021875
4096,0.00000000,0.00001563,0.00015625,0.00025000
4096,0.00001563,0.00001563,0.00014063,0.00025000
4096,0.00000000,0.00001563,0.00015625,0.00023438
4096,0.00000000,0.00001563,0.00017188,0.00023438
4096,0.00000000,0.00001563,0.00014063,0.00025000
4096,0.00000000,0.00001563,0.00014063,0.00021875
4096,0.00001563,0.00000000,0.00014063,0.00028125
4096,0.00000000,0.00001563,0.00015625,0.00023438
4096,0.00001563,0.00000000,0.00017188,0.00021875
4096,0.00000000,0.00001563,0.00018750,0.00023438
4096,0.00001563,0.00000000,0.00014063,0.00023438
4096,0.00001563,0.00001563,0.00015625,0.00025000
4096,0.00000000,0.00001563,0.00014063,0.00023438
4096,0.00001563,0.00000000,0.00014063,0.00023438
4096,0.00000000,0.00001563,0.00014063,0.00023438
4096,0.00001563,0.00000000,0.00014063,0.00021875
4096,0.00001563,0.00000000,0.00017188,0.00025000
4096,0.00000000,0.00001563,0.00015625,0.00025000
4096,0.00001563,0.00000000,0.00017188,0.00025000
4096,0.00000000,0.00001563,0.00015625,0.00026563
4096,0.00000000,0.00001563,0.00014063,0.00021875
4096,0.00000000,0.00001563,0.00015625,0.00023438
4096,0.00001563,0.00001563,0.00014063,0.00023438
4096,0.00000000,0.00001563,0.00012500,0.00025000
4096,0.00001563,0.00000000,0.00015625,0.00025000
4096,0.00001563,0.00000000,0.00017188,0.00023438
4096,0.00001563,0.00001563,0.00012500,0.00018750
4096,0.00001563,0.00001563,0.00015625,0.00021875
4096,0.00001563,0.00000000,0.00018750,0.00021875
4096,0.00000000,0.00001563,0.00015625,0.00023438
4096,0.00000000,0.00001563,0.00015625,0.00021875
